Name	Min Frequency (MHz)	Max Frequency (MHz)	Polarisation	Horizontal Spacing (?)	Vertical Spacing (?)	Number of Columns (N)	Number of Rows (M)	Number of Transmission Antenna Ports	Number of Reception Antenna Ports	Comments
AIR6488B42D_Tr_3600_PWR_-17T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V-17 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_-12T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V-12 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_-7T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V-7 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_-2T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V-2 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_3T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V3 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_8T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V8 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_13T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V13 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_18T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V18 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_23T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-60_V23 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
AIR6488B42D_Tr_3600_PWR_-17T	3600	3600	Cross-polar	0.5	0.6667	8	8	64	64	AIR6488_B42D_traffic_H-55_V-17 V_HorCut=23, H_VerCut=60, Tx Power=2x50 dBm
