,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,Phi\Theta,-175,-1.70E+02,-165,-160,-155,-150,-145,-140,-135,-130,-125,-120,-115,-110,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175
1,-90,-7.06236,-8.91E+00,-9.38526,-14.0198,-13.1417,-23.6511,-9.84572,-10.0614,-7.69317,-6.97655,-12.1218,-12.5902,-8.29134,-7.46447,-4.93847,-3.96496,-3.07088,-4.59345,-3.17876,-5.33203,-3.6693,-5.87596,-5.60602,-9.07555,-13.4628,-8.82877,-10.9135,-11.9684,-12.1618,-5.26307,-2.6356,-1.25339,2.236072,6.217527,8.646459,10.93306,12.23684,13.23571,13.6247,14.24776,14.66471,14.382,13.79488,12.88423,11.66773,10.1484,8.461666,5.369989,1.834795,-0.4407,-5.24349,-5.80616,-15.3062,-22.4424,-18.0196,-18.6755,-16.1858,-11.6997,-12.8635,-9.2305,-12.0878,-16.4261,-7.97561,-7.66441,-5.55844,-6.95499,-5.52993,-4.55631,-6.46551,-7.60565,-6.24742
2,-85,-6.00383,-8.17E+00,-10.972,-15.7938,-15.4039,-21.4175,-11.3168,-13.0863,-10.9909,-10.2843,-11.4015,-9.49261,-6.42646,-10.2949,-4.90282,-4.98783,-3.97513,-6.47683,-4.79189,-5.52688,-4.11113,-6.11239,-5.69025,-12.856,-15.0398,-11.0302,-11.2265,-15.0303,-13.4757,-4.59262,-3.15345,-0.872,2.454863,6.55828,8.645582,10.87733,12.20804,13.25651,13.59751,14.19059,14.5829,14.13487,13.60854,12.49653,11.49485,10.10303,8.0552,4.791827,0.680412,-1.71531,-3.38046,-8.4453,-20.906,-26.5743,-21.3545,-10.4637,-16.5528,-14.105,-17.4033,-8.33889,-8.67656,-12.9385,-8.16795,-6.71762,-5.16921,-6.38676,-6.67275,-4.80627,-5.96413,-7.05836,-6.56577
3,-80,-6.3572,-7.47E+00,-12.2886,-18.6263,-16.7428,-15.9929,-15.4249,-18.5015,-16.5033,-13.5637,-8.80918,-7.60164,-5.12274,-8.0239,-7.3523,-6.40279,-3.99859,-3.86289,-4.70534,-3.29983,-4.71799,-3.80069,-6.08755,-10.599,-17.1403,-16.5347,-14.0173,-20.9521,-11.7259,-4.14651,-2.73851,-0.55179,2.874831,6.876832,8.724434,10.81399,12.20128,13.1823,13.50292,13.85258,14.29066,13.83619,13.23519,12.12101,11.14968,9.407606,7.477475,3.881512,0.345312,-1.17808,-4.0829,-7.44953,-14.4416,-16.926,-14.0798,-9.58766,-19.5289,-19.1646,-16.2012,-15.3759,-8.05056,-8.36208,-5.91644,-8.31817,-6.27128,-5.83406,-7.09079,-5.22643,-5.26715,-6.5712,-7.42899
4,-75,-6.09998,-7.13E+00,-13.1704,-23.1681,-15.7454,-15.5159,-20.4068,-13.1646,-12.0812,-9.56855,-10.027,-8.39984,-7.22013,-6.41125,-10.6752,-6.44973,-4.69538,-3.30532,-5.06844,-3.71022,-5.00898,-6.46505,-7.73341,-8.97357,-12.3979,-14.993,-11.7837,-20.1648,-9.78501,-4.20627,-2.57645,-0.10978,3.296931,6.917959,8.736598,10.86861,12.15304,13.1554,13.42226,13.66048,13.84414,13.34176,12.63573,11.68787,10.6679,8.766012,6.038527,3.687363,1.346244,-1.38016,-7.77826,-8.48477,-12.7875,-20.1668,-15.0941,-14.6512,-16.6799,-17.1783,-18.2174,-18.9357,-11.0379,-10.9998,-7.60232,-7.31544,-7.07639,-5.51428,-5.82682,-6.06794,-5.19142,-8.23593,-6.70504
5,-70,-6.04281,-8.62E+00,-14.1057,-17.581,-16.768,-13.1768,-14.5758,-11.1746,-6.94319,-6.53484,-8.18593,-7.53806,-9.75397,-6.28134,-9.21163,-4.57672,-5.12473,-3.93195,-6.0989,-4.96084,-6.39459,-9.31271,-9.09541,-9.75091,-9.5903,-11.5998,-10.4841,-16.6463,-8.25015,-4.48041,-2.22542,0.162929,3.658908,6.851595,8.676713,10.87924,12.06993,13.07415,13.26646,13.41919,13.41002,12.71032,12.06348,11.27795,10.2049,7.88234,5.1699,2.776098,0.768204,-2.13432,-10.5512,-10.3597,-20.2636,-17.4255,-14.4905,-14.8371,-9.9503,-20.1023,-14.3512,-16.1672,-11.2403,-10.5413,-8.05715,-6.09895,-7.77513,-6.17803,-5.16115,-7.10419,-5.85456,-10.1714,-7.26801
6,-65,-7.12928,-9.85E+00,-12.7547,-12.843,-15.6079,-13.175,-11.2619,-10.4121,-5.84705,-6.95293,-5.9696,-5.0666,-6.56572,-4.93494,-5.68248,-4.27651,-3.64585,-5.07975,-6.10997,-5.82131,-7.62637,-8.23439,-10.0022,-10.8845,-9.05881,-10.4264,-12.8826,-15.8836,-8.14318,-4.38788,-1.7849,0.774153,3.856862,6.87542,8.659601,10.78643,12.00875,13.02639,13.04974,12.86199,12.90329,12.11614,11.63134,10.63544,9.166029,6.671412,4.999089,1.750773,-0.57909,-5.36253,-7.95753,-11.5138,-12.9393,-10.5805,-19.3788,-11.8345,-9.80844,-12.191,-9.20286,-26.0299,-8.20736,-9.9428,-10.0937,-7.26348,-7.85375,-5.67997,-4.79734,-6.82668,-5.20981,-10.855,-8.74265
7,-60,-9.50675,-1.15E+01,-10.7752,-11.9664,-14.4949,-13.1253,-9.32751,-8.70954,-8.6148,-9.15959,-6.25443,-4.46642,-5.13966,-4.54066,-4.39278,-4.42019,-3.71349,-7.07047,-5.47827,-7.48015,-10.2737,-9.09418,-10.2903,-10.0916,-12.186,-12.127,-15.5171,-18.7462,-9.1858,-4.95453,-1.67963,1.262652,4.162752,7.05182,8.771077,10.64102,11.96145,12.82142,12.66532,12.542,12.53267,11.60991,11.11127,9.757034,7.63043,5.656282,3.775526,0.837374,-3.32542,-4.36451,-12.8247,-8.57229,-10.4662,-17.394,-17.7526,-12.6171,-8.39365,-9.84164,-12.4735,-9.94989,-15.2404,-10.5832,-9.7639,-8.9926,-7.27984,-5.68068,-5.67575,-6.9462,-4.71694,-8.90176,-9.46125
8,-55,-11.1626,-1.12E+01,-11.1717,-13.0666,-16.8476,-13.0423,-9.19058,-10.5588,-13.39,-9.67436,-7.11504,-5.08184,-8.5831,-9.12338,-6.23973,-5.20236,-6.17318,-7.47791,-7.03916,-8.88753,-11.0651,-10.0103,-11.2785,-11.7089,-21.0493,-17.309,-23.148,-19.6392,-10.0009,-5.56882,-1.40677,1.755476,4.53275,7.322822,8.974289,10.59393,11.88619,12.41017,12.3701,11.97355,12.03421,11.22394,10.27728,8.68142,6.463236,4.84427,2.55578,-0.61782,-1.58204,-5.83899,-11.1139,-7.45467,-8.8113,-11.7886,-15.1851,-15.2557,-13.9168,-17.1513,-11.388,-9.5295,-14.0666,-7.09531,-5.69834,-7.12086,-7.03274,-7.00278,-6.53971,-7.9474,-5.53873,-7.00996,-8.72516
9,-50,-11.6292,-1.40E+01,-12.0354,-17.7521,-18.9225,-12.4636,-12.1187,-16.4227,-16.7016,-12.4562,-8.32994,-7.02693,-8.30983,-8.29426,-7.8879,-7.71855,-7.08983,-8.35691,-8.13906,-8.79155,-9.8179,-10.2304,-11.4651,-13.1907,-16.796,-15.747,-26.1025,-20.7246,-10.6854,-6.21867,-1.28515,2.106596,4.689472,7.474137,9.104613,10.63256,11.62752,11.93612,11.88553,11.62585,11.36039,10.52117,9.108448,7.643402,5.527789,3.861372,1.772059,0.755587,-3.21371,-5.97486,-8.07707,-8.2123,-7.00942,-10.0606,-13.8917,-12.2891,-20.3682,-13.0432,-11.6327,-10.6917,-7.10909,-5.76169,-3.93397,-6.51547,-6.86502,-8.23346,-7.16042,-6.05749,-6.9089,-8.36675,-7.56123
